;bait;baitGene;prey;preyGene;Protein names_x;Unnamed: 5;FlyBase;trueCounts;ucCounts;ccCounts;sumSPC;avgSPC;FC_A;FC_B;SP;compass;eScore;iRef;iRef2;intAct;intAct2;From;Entry;Reviewed;Entry Name;Protein names_y;Gene Names;Length;Gene Names (ORF);Gene Names (primary);Gene Names (synonym);Gene Ontology (GO);Organism (ID);VEuPathDB
10;MTCNK7H30;MTCNK7H30;Q24324;Dsor1;Dual specificity mitogen-activated protein kinase kinase dSOR1 (Downstream of RAF) (MAPKK) (EC 2.7.12.2);;"FBgn0010269;";2|0|4;0|0|0;-;6;2;3,21216959;2,646677859;0,59;0;0;0;0;0;0;Q24324;Q24324;reviewed;DSOR1_DROME;Dual specificity mitogen-activated protein kinase kinase dSOR1 (Downstream of RAF) (MAPKK) (EC 2.7.12.2);Dsor1 CG15793;396,0;CG15793;Dsor1;;"condensed chromosome [GO:0000793]; cytosol [GO:0005829]; ATP binding [GO:0005524]; kinase binding [GO:0019900]; MAP kinase kinase activity [GO:0004708]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein tyrosine kinase activity [GO:0004713]; border follicle cell migration [GO:0007298]; cellular response to X-ray [GO:0071481]; defense response to virus [GO:0051607]; determination of adult lifespan [GO:0008340]; dorsal/ventral pattern formation [GO:0009953]; epidermal growth factor receptor signaling pathway [GO:0007173]; ERK1 and ERK2 cascade [GO:0070371]; fibroblast growth factor receptor signaling pathway [GO:0008543]; hemocyte differentiation [GO:0042386]; insulin receptor signaling pathway [GO:0008286]; MAPK cascade [GO:0000165]; mitotic DNA replication checkpoint signaling [GO:0033314]; mitotic G2 DNA damage checkpoint signaling [GO:0007095]; photoreceptor cell development [GO:0042461]; protein phosphorylation [GO:0006468]; R7 cell fate commitment [GO:0007465]; sevenless signaling pathway [GO:0045500]; terminal branching, open tracheal system [GO:0007430]; terminal region determination [GO:0007362]; torso signaling pathway [GO:0008293]; vascular endothelial growth factor receptor signaling pathway [GO:0048010]";7227,0;FBgn0010269
11;MTCNK7H30;MTCNK7H30;Q9VL75;Bka;Bekka (RE14259p) (RE14949p);;"FBgn0010520;";4|0|3;0|0|1;-;7;2,333333333;3,088478469;2,34511465;0,59;0;0;0;0;0;0;Q9VL75;Q9VL75;unreviewed;Q9VL75_DROME;Bekka (RE14259p) (RE14949p);Bka BcDNA:RE14949 bka Dmel\CG4539 l(2)02695 mip CG4539 Dmel_CG4539;200,0;CG4539 Dmel_CG4539;Bka;BcDNA:RE14949 bka Dmel\CG4539 l(2)02695 mip;"nucleolus [GO:0005730]; small-subunit processome [GO:0032040]; rRNA processing [GO:0006364]";7227,0;FBgn0010520
12;MTCNK7H30;MTCNK7H30;Q9W3L1;Upf2;RE04053p (Upf2);;"FBgn0029992;";3|4|0;0|1|0;-;7;2,333333333;3,064196843;2,3778251;0,59;0;0;0;0;0;0;Q9W3L1;Q9W3L1;unreviewed;Q9W3L1_DROME;RE04053p (Upf2);Upf2 Dmel\CG2253 smg-3 UPF2 upf2 CG2253 Dmel_CG2253;1241,0;CG2253 Dmel_CG2253;Upf2;Dmel\CG2253 smg-3 UPF2 upf2;"cytoplasm [GO:0005737]; exon-exon junction complex [GO:0035145]; polysome [GO:0005844]; synapse [GO:0045202]; RNA binding [GO:0003723]; neuromuscular synaptic transmission [GO:0007274]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; synapse organization [GO:0050808]";7227,0;FBgn0029992
13;MTCNK7H30;MTCNK7H30;H9XVP3;PlexA;Plexin A, isoform F;;"FBgn0025741;";2|0|3;0|0|0;-;5;1,666666667;2,908313351;2,460848799;0,58;0;0;0;0;0;0;H9XVP3;H9XVP3;unreviewed;H9XVP3_DROME;Plexin A, isoform F;PlexA BcDNA:GM05237 D-Plex A Dmel\CG11081 DPlexA lincRNA.927 plex plex A Plex1 plexA PlexA1 PlexinA CG11081 Dmel_CG11081;1928,0;CG11081 Dmel_CG11081;PlexA;BcDNA:GM05237 D-Plex A Dmel\CG11081 DPlexA lincRNA.927 plex plex A Plex1 plexA PlexA1 PlexinA;"plasma membrane [GO:0005886]; semaphorin receptor complex [GO:0002116]; 14-3-3 protein binding [GO:0071889]; GTPase activator activity [GO:0005096]; heparin binding [GO:0008201]; semaphorin receptor activity [GO:0017154]; axon guidance [GO:0007411]; axon midline choice point recognition [GO:0016199]; motor neuron axon guidance [GO:0008045]; negative regulation of cell adhesion [GO:0007162]; positive regulation of axonogenesis [GO:0050772]; Ras protein signal transduction [GO:0007265]; regulation of cell migration [GO:0030334]; regulation of cell shape [GO:0008360]; regulation of GTPase activity [GO:0043087]; semaphorin-plexin signaling pathway involved in axon guidance [GO:1902287]; semaphorin-plexin signaling pathway involved in regulation of photoreceptor cell axon guidance [GO:2000305]; sensory neuron axon guidance [GO:0097374]";7227,0;FBgn0025741
14;MTCNK7H30;MTCNK7H30;A0A0B7P9G0;uex;Unextended protein (Putative metal transporter uex);;"FBgn0262124;";10|14|5;1|4|0;-;29;9,666666667;4,689758455;4,178717062;0,58;0;0;0;0;0;0;A0A0B7P9G0;A0A0B7P9G0;reviewed;UEX_DROME;Unextended protein (Putative metal transporter uex);uex 41Ad GroupIII l(2)41Ad CG42595;834,0;CG42595;uex;41Ad GroupIII l(2)41Ad;"plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]; cellular response to carbon dioxide [GO:0071244]; intracellular monoatomic ion homeostasis [GO:0006873]; magnesium ion homeostasis [GO:0010960]; monoatomic ion transport [GO:0006811]";7227,0;FBgn0262124
15;MTCNK7H30;MTCNK7H30;Q8T9D5;Q8T9D5;alanine transaminase (EC 2.6.1.2);;"FBgn0030478;";3|2|0;0|0|0;-;5;1,666666667;3,274860459;2,63602953;0,58;0;0;0;0;0;0;Q8T9D5;Q8T9D5;unreviewed;Q8T9D5_DROME;alanine transaminase (EC 2.6.1.2);CG1640;568,0;CG1640;;;"cytosol [GO:0005829]; mitochondrion [GO:0005739]; L-alanine:2-oxoglutarate aminotransferase activity [GO:0004021]; pyridoxal phosphate binding [GO:0030170]; biosynthetic process [GO:0009058]; L-alanine catabolic process [GO:0042853]";7227,0;FBgn0030478
16;MTCNK7H30;MTCNK7H30;A0A0B4KHX3;dco;Discs overgrown, isoform D (EC 2.7.11.-) (Discs overgrown, isoform E);;"FBgn0002413;";1|2|3;0|0|0;-;6;2;3,189684546;3,145318158;0,58;0;0;0;0;0;0;A0A0B4KHX3;A0A0B4KHX3;unreviewed;A0A0B4KHX3_DROME;Discs overgrown, isoform D (EC 2.7.11.-) (Discs overgrown, isoform E);dco 0538/13 0915/10 1396/02 1447/01 1460/09 CK1delta/epsilon CK1epsilon ck1epsilon CKIepsilon DBT Dbt dbt DBT/CK1epsilon dCKIepsilon DCO Dco dco-1 Dco/CK1 DCO/CKIe ddbt Dmel\CG2048 l(3)dco l(3)dco-1 l(3)discs overgrown l(3)discs overgrown-1 l(3)j3B9 l(3)rK215 l(3)S053813 l(3)S144701 CG2048 Dmel_CG2048;440,0;CG2048 Dmel_CG2048;dco;0538/13 0915/10 1396/02 1447/01 1460/09 CK1delta/epsilon CK1epsilon ck1epsilon CKIepsilon DBT Dbt dbt DBT/CK1epsilon dCKIepsilon DCO Dco dco-1 Dco/CK1 DCO/CKIe ddbt Dmel\CG2048 l(3)dco l(3)dco-1 l(3)discs overgrown l(3)discs overgrown-1 l(3)j3B9 l(3)rK215 l(3)S053813 l(3)S144701;"ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; protein phosphorylation [GO:0006468]";7227,0;FBgn0002413
17;MTCNK7H30;MTCNK7H30;Q29QJ9;Q29QJ9;IP05345p;;;0|2|2;0|0|0;-;4;1,333333333;2,38745599;2,112480983;0,53;0;0;0;0;0;0;Q29QJ9;Q29QJ9;unreviewed;Q29QJ9_DROME;IP05345p;;144,0;;;;;7227,0;FBgn0036601
18;MTCNK7H30;MTCNK7H30;Q59E09;AcCoAS;Acetyl-coenzyme A synthetase (EC 6.2.1.1);;"FBgn0012034;";2|0|2;0|0|0;-;4;1,333333333;2,604457111;2,241696386;0,53;0;0;0;0;0;0;Q59E09;Q59E09;unreviewed;Q59E09_DROME;Acetyl-coenzyme A synthetase (EC 6.2.1.1);AcCoAS AcCoAs AcCoAS-RA ACeCS1 ACS acs BEST:GH28401 dACS Dmel\CG9390 CG9390 Dmel_CG9390;670,0;CG9390 Dmel_CG9390;AcCoAS;AcCoAs AcCoAS-RA ACeCS1 ACS acs BEST:GH28401 dACS Dmel\CG9390;"acetate-CoA ligase activity [GO:0003987]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; acetyl-CoA biosynthetic process from acetate [GO:0019427]";7227,0;FBgn0012034
19;MTCNK7H30;MTCNK7H30;Q24170;ksr;KSR;;"FBgn0015402;";2|0|2;0|0|0;-;4;1,333333333;2,604457111;2,241696386;0,53;0;0;0;0;0;0;Q24170;Q24170;unreviewed;Q24170_DROME;KSR;ksr CG2899;966,0;CG2899;ksr;;"cytoplasm [GO:0005737]; cytosol [GO:0005829]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; anterior/posterior axis specification, embryo [GO:0008595]; imaginal disc-derived wing morphogenesis [GO:0007476]; positive regulation of Ras protein signal transduction [GO:0046579]; protein phosphorylation [GO:0006468]; Ras protein signal transduction [GO:0007265]";7227,0;FBgn0015402
20;MTCNK7H30;MTCNK7H30;Q0E8J4;zormin;Zormin, isoform G;;"FBgn0052311;";2|0|2;0|0|0;-;4;1,333333333;2,604457111;2,241696386;0,53;0;0;0;0;0;0;Q0E8J4;Q0E8J4;unreviewed;Q0E8J4_DROME;Zormin, isoform G;zormin BcDNA:GH09541 CG11850 CG11952 CG11953 CG1282 CG32307 CG32309 CG32310 CG32311 CG5699 CT36990 Dmel\CG33484 CG33484 Dmel_CG33484;3079,0;CG33484 Dmel_CG33484;zormin;BcDNA:GH09541 CG11850 CG11952 CG11953 CG1282 CG32307 CG32309 CG32310 CG32311 CG5699 CT36990 Dmel\CG33484;"M band [GO:0031430]; Z disc [GO:0030018]; actin binding [GO:0003779]; anatomical structure development [GO:0048856]; cellular component organization [GO:0016043]";7227,0;FBgn0052311
21;MTCNK7H30;MTCNK7H30;M9MSA2;jub;Ajuba LIM protein, isoform D;;"FBgn0030530;";5|1|20;0|0|3;-;26;8,666666667;5,553722225;3,943624135;0,45;0;0;0;0;0;0;M9MSA2;M9MSA2;unreviewed;M9MSA2_DROME;Ajuba LIM protein, isoform D;jub Ajuba dJub djub Dmel\CG11063 JUB Jub CG11063 Dmel_CG11063;723,0;CG11063 Dmel_CG11063;jub;Ajuba dJub djub Dmel\CG11063 JUB Jub;metal ion binding [GO:0046872];7227,0;FBgn0030530
22;MTCNK7H30;MTCNK7H30;Q86BH6;Zasp66;Z band alternatively spliced PDZ-motif protein 66, isoform I;;"FBgn0035917;";2|0|6;0|0|1;-;8;2,666666667;3,021113535;2,337427519;0,44;0;0;0;0;0;0;Q86BH6;Q86BH6;unreviewed;Q86BH6_DROME;Z band alternatively spliced PDZ-motif protein 66, isoform I;Zasp66 anon-WO0153538.30 Dmel\CG6416 Zaps66 ZASP66 CG6416 Dmel_CG6416;215,0;CG6416 Dmel_CG6416;Zasp66;anon-WO0153538.30 Dmel\CG6416 Zaps66 ZASP66;"adherens junction [GO:0005912]; filamentous actin [GO:0031941]; stress fiber [GO:0001725]; Z disc [GO:0030018]; actin binding [GO:0003779]; muscle alpha-actinin binding [GO:0051371]; protein phosphatase 1 binding [GO:0008157]; actin cytoskeleton organization [GO:0030036]; mesoderm development [GO:0007498]; muscle structure development [GO:0061061]; myofibril assembly [GO:0030239]";7227,0;FBgn0035917
23;MTCNK7H30;MTCNK7H30;Q9VZZ9;dos;Protein daughter of sevenless;;"FBgn0016794;";2|1|7;0|0|1;-;10;3,333333333;3,569777341;3,161904983;0,44;0;0;0;0;0;0;Q9VZZ9;Q9VZZ9;reviewed;DOS_DROME;Protein daughter of sevenless;dos CG1044;878,0;CG1044;dos;;"cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; SH2 domain binding [GO:0042169]; signaling adaptor activity [GO:0035591]; anterior/posterior axis specification, embryo [GO:0008595]; photoreceptor cell development [GO:0042461]; R7 cell fate commitment [GO:0007465]; regulation of Ras protein signal transduction [GO:0046578]; sevenless signaling pathway [GO:0045500]; signal transduction [GO:0007165]; torso signaling pathway [GO:0008293]";7227,0;FBgn0016794
24;MTCNK7H30;MTCNK7H30;Q24034;l 1 1Bi;Lethal(1)1Bi protein;;"FBgn0001341;";2|4|8;1|0|2;-;14;4,666666667;2,994078965;2,864312767;0,44;0;0;0;0;0;0;Q24034;Q24034;unreviewed;Q24034_DROME;Lethal(1)1Bi protein;Mybbp1A l(1)1Bi CG6189;1133,0;CG6189;Mybbp1A;l(1)1Bi;"nucleolus [GO:0005730]; DNA binding [GO:0003677]; regulation of DNA-templated transcription [GO:0006355]";7227,0;FBgn0001341
25;MTCNK7H30;MTCNK7H30;Q9V3E9;spag;FI17138p1 (Spaghetti);;"FBgn0015544;";2|0|5;0|0|1;-;7;2,333333333;2,780796116;2,222040564;0,43;0;0;0;0;0;0;Q9V3E9;Q9V3E9;unreviewed;Q9V3E9_DROME;FI17138p1 (Spaghetti);spag Dmel\CG13570 l(2)k12101 Rpap3 SPAG Spag spag-RA spagh CG13570 Dmel_CG13570;534,0;CG13570 Dmel_CG13570;spag;Dmel\CG13570 l(2)k12101 Rpap3 SPAG Spag spag-RA spagh;"cytoplasm [GO:0005737]; protein folding chaperone complex [GO:0101031]; Hsp70 protein binding [GO:0030544]; Hsp90 protein binding [GO:0051879]; negative regulation of motor neuron apoptotic process [GO:2000672]; regulation of locomotor rhythm [GO:1904059]";7227,0;FBgn0015544
26;MTCNK7H30;MTCNK7H30;Q9VH07;pont;RuvB-like helicase 1 (EC 3.6.4.12) (Dpontin) (Dpon) (Pontin);;"FBgn0040078;";4|2|0;0|1|0;-;6;2;2,851555427;2,158797284;0,43;0;0;0;0;0;0;Q9VH07;Q9VH07;reviewed;RUVB1_DROME;RuvB-like helicase 1 (EC 3.6.4.12) (Dpontin) (Dpon) (Pontin);pont CG4003;456,0;CG4003;pont;;"brahma complex [GO:0035060]; Ino80 complex [GO:0031011]; NuA4 histone acetyltransferase complex [GO:0035267]; nucleus [GO:0005634]; R2TP complex [GO:0097255]; Swr1 complex [GO:0000812]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA helicase activity [GO:0003678]; transcription coactivator activity [GO:0003713]; box C/D snoRNP assembly [GO:0000492]; cell division [GO:0051301]; chromatin remodeling [GO:0006338]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; DNA repair-dependent chromatin remodeling [GO:0140861]; histone acetylation [GO:0016573]; mitotic spindle assembly [GO:0090307]; negative regulation of JNK cascade [GO:0046329]; negative regulation of programmed cell death [GO:0043069]; negative regulation of tumor necrosis factor-mediated signaling pathway [GO:0010804]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of gene expression [GO:0010628]; regulation of cell population proliferation [GO:0042127]; regulation of transcription by RNA polymerase II [GO:0006357]";7227,0;FBgn0040078
